,SKU,ProductName,NetPrice,Quantity
0,FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",104.78399999999999,2
1,FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",104.0428,5
2,FUR-BO-10000362,Sauder Inglewood Library Bookcases,131.6546,5
3,FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,40.8072,2
4,FUR-BO-10000711,"Hon Metal Bookcases, Gray",51.815400000000004,2
5,FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,168.82319999999999,2
6,FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,108.88200000000002,5
7,FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,44.1864,5
8,FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",93.91140000000001,2
9,FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",106.0938,5
10,FUR-BO-10001608,"Hon Metal Bookcases, Black",53.235000000000014,2
11,FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,66.28440000000002,5
12,FUR-BO-10001798,Bush Somerset Collection Bookcase,110.0232,5
13,FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",210.68600000000006,5
14,FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",143.2722,2
15,FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,100.41340000000001,2
16,FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",171.0958,2
17,FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",132.5212,2
18,FUR-BO-10002213,"Sauder Forest Hills Library, Woodland Oak Finish",405.7938000000001,2
19,FUR-BO-10002268,Sauder Barrister Bookcases,65.5938,2
20,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",193.12520000000004,2
21,FUR-BO-10002598,"Hon Metal Bookcases, Putty",50.39580000000001,2
22,FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",196.68600000000006,5
23,FUR-BO-10002824,Bush Mission Pointe Library,120.78399999999999,2
24,FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,61.45500000000001,5
25,FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",138.4938,5
26,FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",110.0232,2
27,FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",104.63180000000003,5
28,FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,198.882,5
29,FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",405.12120000000004,2
30,FUR-BO-10003433,Sauder Cornerstone Collection Library,28.811400000000006,2
31,FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",77.75460000000002,5
32,FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",53.3416,2
33,FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,75.735,2
34,FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",170.1546,2
35,FUR-BO-10003893,Sauder Camden County Collection Library,91.98400000000001,5
36,FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",49.686,5
37,FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,161.07219999999998,5
38,FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",143.62320000000003,2
39,FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",93.59220000000002,5
40,FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",112.78399999999999,5
